;Ano;Codigo_Mes;Periodo;Casos
0;2007;1;2007.01;1625
1;2007;2;2007.02;3189
2;2007;3;2007.03;7899
3;2007;4;2007.04;8351
4;2007;5;2007.05;4547
5;2007;6;2007.06;1059
6;2007;7;2007.07;341
7;2007;8;2007.08;117
8;2007;9;2007.09;120
9;2007;10;2007.10;264
10;2007;11;2007.11;365
11;2007;12;2007.12;626
12;2008;1;2008.01;1556
13;2008;2;2008.02;3456
14;2008;3;2008.03;9981
15;2008;4;2008.04;18181
16;2008;5;2008.05;10463
17;2008;6;2008.06;2943
18;2008;7;2008.07;393
19;2008;8;2008.08;207
20;2008;9;2008.09;186
21;2008;10;2008.10;354
22;2008;11;2008.11;765
23;2008;12;2008.12;709
24;2009;1;2009.01;3039
25;2009;2;2009.02;6492
26;2009;3;2009.03;15054
27;2009;4;2009.04;13451
28;2009;5;2009.05;9506
29;2009;6;2009.06;2288
30;2009;7;2009.07;838
31;2009;8;2009.08;256
32;2009;9;2009.09;155
33;2009;10;2009.10;338
34;2009;11;2009.11;1309
35;2009;12;2009.12;3031
36;2010;1;2010.01;14627
37;2010;2;2010.02;28887
38;2010;3;2010.03;55242
39;2010;4;2010.04;62142
40;2010;5;2010.05;37691
41;2010;6;2010.06;6179
42;2010;7;2010.07;1635
43;2010;8;2010.08;635
44;2010;9;2010.09;501
45;2010;10;2010.10;426
46;2010;11;2010.11;862
47;2010;12;2010.12;2182
48;2011;1;2011.01;3882
49;2011;2;2011.02;5362
50;2011;3;2011.03;6543
51;2011;4;2011.04;7873
52;2011;5;2011.05;6422
53;2011;6;2011.06;1491
54;2011;7;2011.07;508
55;2011;8;2011.08;303
56;2011;9;2011.09;268
57;2011;10;2011.10;348
58;2011;11;2011.11;428
59;2011;12;2011.12;670
60;2012;1;2012.01;2283
61;2012;2;2012.02;2541
62;2012;3;2012.03;3851
63;2012;4;2012.04;4741
64;2012;5;2012.05;3865
65;2012;6;2012.06;2513
66;2012;7;2012.07;1229
67;2012;8;2012.08;657
68;2012;9;2012.09;550
69;2012;10;2012.10;676
70;2012;11;2012.11;1170
71;2012;12;2012.12;5801
72;2013;1;2013.01;35383
73;2013;2;2013.02;62298
74;2013;3;2013.03;147089
75;2013;4;2013.04;124362
76;2013;5;2013.05;31329
77;2013;6;2013.06;7210
78;2013;7;2013.07;1625
79;2013;8;2013.08;658
80;2013;9;2013.09;613
81;2013;10;2013.10;759
82;2013;11;2013.11;1034
83;2013;12;2013.12;2280
84;2014;1;2014.01;4346
85;2014;2;2014.02;8446
86;2014;3;2014.03;10229
87;2014;4;2014.04;15461
88;2014;5;2014.05;10442
89;2014;6;2014.06;4291
90;2014;7;2014.07;1309
91;2014;8;2014.08;591
92;2014;9;2014.09;627
93;2014;10;2014.10;706
94;2014;11;2014.11;848
95;2014;12;2014.12;1110
96;2015;1;2015.01;4620
97;2015;2;2015.02;8117
98;2015;3;2015.03;25873
99;2015;4;2015.04;55926
100;2015;5;2015.05;56295
101;2015;6;2015.06;17624
102;2015;7;2015.07;4206
103;2015;8;2015.08;1629
104;2015;9;2015.09;1141
105;2015;10;2015.10;1278
106;2015;11;2015.11;3378
107;2015;12;2015.12;13039
108;2016;1;2016.01;50264
109;2016;2;2016.02;128271
110;2016;3;2016.03;163334
111;2016;4;2016.04;125195
112;2016;5;2016.05;45555
113;2016;6;2016.06;8554
114;2016;7;2016.07;1740
115;2016;8;2016.08;1028
116;2016;9;2016.09;795
117;2016;10;2016.10;867
118;2016;11;2016.11;1120
119;2016;12;2016.12;1755
120;2017;1;2017.01;4095
121;2017;2;2017.02;4448
122;2017;3;2017.03;5424
123;2017;4;2017.04;3684
124;2017;5;2017.05;3100
125;2017;6;2017.06;1644
126;2017;7;2017.07;627
127;2017;8;2017.08;534
128;2017;9;2017.09;504
129;2017;10;2017.10;638
130;2017;11;2017.11;684
131;2017;12;2017.12;1021
132;2018;1;2018.01;1920
133;2018;2;2018.02;2193
134;2018;3;2018.03;4088
135;2018;4;2018.04;7333
136;2018;5;2018.05;4559
137;2018;6;2018.06;1866
138;2018;7;2018.07;875
139;2018;8;2018.08;554
140;2018;9;2018.09;499
141;2018;10;2018.10;784
142;2018;11;2018.11;1344
143;2018;12;2018.12;3086
144;2019;1;2019.01;13878
145;2019;2;2019.02;31467
146;2019;3;2019.03;68625
147;2019;4;2019.04;142457
148;2019;5;2019.05;156537
149;2019;6;2019.06;46309
150;2019;7;2019.07;9367
151;2019;8;2019.08;2182
152;2019;9;2019.09;1963
153;2019;10;2019.10;1574
154;2019;11;2019.11;1405
155;2019;12;2019.12;2296
156;2020;1;2020.01;7246
157;2020;2;2020.02;12037
158;2020;3;2020.03;17078
159;2020;4;2020.04;18587
160;2020;5;2020.05;12444
161;2020;6;2020.06;5258
162;2020;7;2020.07;2690
163;2020;8;2020.08;1409
164;2020;9;2020.09;1276
165;2020;10;2020.10;1104
166;2020;11;2020.11;1316
167;2020;12;2020.12;1883
168;2021;1;2021.01;1955
169;2021;2;2021.02;2714
170;2021;3;2021.03;4777
171;2021;4;2021.04;3863
172;2021;5;2021.05;2851
173;2021;6;2021.06;1780
174;2021;7;2021.07;820
175;2021;8;2021.08;602
176;2021;9;2021.09;617
177;2021;10;2021.10;586
178;2021;11;2021.11;1068
179;2021;12;2021.12;2082
